iter	Passed	Remaining
268	415	1128
269	416	1124
270	417	1123
271	418	1119
272	419	1116
273	419	1112
274	420	1108
275	421	1104
276	421	1101
277	422	1097
278	423	1094
279	424	1090
280	424	1087
281	425	1083
282	426	1080
283	427	1076
284	427	1073
285	428	1070
286	429	1066
287	430	1063
288	430	1060
289	432	1058
290	433	1056
291	434	1052
292	434	1049
293	435	1046
294	436	1043
295	437	1039
296	437	1036
297	438	1033
298	439	1030
299	440	1027
300	441	1024
301	441	1021
302	442	1018
303	443	1014
304	443	1011
305	444	1008
306	445	1005
307	446	1002
308	447	1000
309	448	998
310	449	995
311	450	992
312	450	989
313	451	987
314	452	984
315	453	981
316	454	979
317	455	976
318	455	973
319	456	970
320	457	967
321	457	964
322	458	961
323	459	958
324	459	955
325	460	952
326	462	951
327	463	948
328	463	946
329	464	943
330	465	940
331	466	938
332	466	935
333	467	932
334	468	929
335	469	926
336	469	924
337	470	921
338	471	918
339	471	915
340	472	913
341	473	910
342	473	907
343	474	905
344	475	902
345	477	902
346	478	900
347	479	898
348	480	895
349	480	893
350	481	890
351	482	888
352	483	885
353	483	883
354	484	880
355	485	878
356	486	876
357	487	873
358	488	871
359	488	869
360	489	866
361	490	864
362	492	864
363	493	862
364	494	860
365	495	857
366	495	855
367	496	853
368	497	850
369	498	848
370	499	846
371	500	844
372	501	842
373	502	840
374	502	838
375	503	836
376	504	833
377	506	832
378	507	831
379	508	829
380	508	826
381	509	824
382	510	822
383	511	820
384	512	818
385	513	816
386	514	814
387	514	812
388	515	810
389	516	808
390	517	806
391	518	804
392	519	802
393	521	801
394	522	799
395	523	797
396	523	795
397	524	793
398	525	791
399	526	789
400	527	787
401	528	785
402	529	784
403	530	782
404	530	779
405	531	777
406	532	776
407	533	774
408	534	772
409	536	772
410	537	770
411	538	768
412	539	766
413	540	764
414	541	762
415	542	761
416	543	759
417	544	757
418	544	755
419	545	753
420	546	751
421	546	748
422	547	746
423	548	744
424	549	742
425	550	741
426	551	740
427	552	738
428	553	736
429	554	734
430	554	732
431	555	730
432	556	728
433	557	726
434	557	724
435	558	722
436	559	720
437	559	718
438	560	716
439	561	714
440	562	712
441	562	710
442	563	708
443	565	708
444	566	706
445	567	704
446	568	702
447	568	701
448	569	699
449	570	697
450	571	695
451	571	693
452	572	691
453	573	689
454	574	687
455	574	685
456	575	683
457	576	682
458	577	680
459	577	678
460	578	676
461	580	675
462	581	674
463	582	672
464	582	670
465	583	668
466	584	666
467	584	664
468	585	662
469	586	661
470	587	659
471	587	657
472	588	655
473	589	654
474	590	652
475	590	650
476	591	648
477	592	646
478	592	644
479	593	643
480	595	642
481	595	640
482	596	638
483	597	636
484	598	635
485	599	633
486	600	632
487	600	630
488	601	628
489	602	626
490	603	625
491	603	623
492	604	621
493	605	619
494	605	618
495	606	616
496	607	614
497	607	612
498	609	611
499	610	610
500	611	608
501	611	606
502	612	605
503	613	603
504	614	602
505	614	600
506	615	598
507	616	597
508	617	595
509	617	593
510	618	591
511	619	590
512	619	588
513	620	586
514	621	585
515	622	583
516	622	581
517	624	580
518	625	579
519	625	577
520	626	576
521	627	574
522	628	573
523	629	571
524	630	570
525	631	568
526	632	567
527	633	566
528	634	564
529	634	562
530	635	561
531	636	559
532	637	558
533	638	557
534	639	555
535	640	554
536	641	552
537	641	551
538	642	549
539	643	548
540	644	546
541	645	545
542	646	543
543	646	542
544	647	540
545	648	539
546	649	537
547	649	536
548	650	534
549	651	532
550	652	531
551	654	530
552	655	529
553	655	527
554	656	526
555	657	524
556	657	523
557	658	521
558	659	520
559	659	518
560	660	517
561	661	515
562	662	514
563	663	512
564	663	511
565	664	509
566	665	508
567	666	506
568	666	505
569	668	504
570	669	502
571	670	501
572	670	499
573	671	498
574	672	496
575	673	495
576	673	493
577	674	492
578	675	491
579	676	489
580	676	488
581	677	486
582	678	485
583	679	483
584	679	482
585	680	480
586	681	479
587	681	477
588	683	476
589	684	475
590	684	473
591	685	472
592	686	471
593	687	469
594	688	468
595	689	467
596	689	465
597	690	464
598	691	462
599	692	461
600	692	459
601	693	458
602	694	456
603	694	455
604	695	454
605	696	452
606	696	451
607	698	450
608	699	448
609	700	447
610	700	446
611	701	444
612	702	443
613	703	442
614	703	440
615	704	439
616	705	437
617	705	436
618	706	434
619	707	433
620	708	432
621	708	430
622	709	429
623	710	428
624	711	426
625	712	425
626	714	425
627	716	424
628	717	423
629	718	421
630	718	420
631	719	419
632	720	417
633	721	416
634	721	414
635	722	413
636	723	412
637	723	410
638	724	409
639	725	408
640	726	406
641	727	405
642	728	404
643	729	403
644	730	402
645	731	400
646	731	399
647	732	397
648	733	396
649	734	395
650	734	393
651	735	392
652	736	391
653	737	389
654	737	388
655	738	387
656	739	385
657	740	384
658	740	383
659	741	381
660	742	380
661	743	379
662	744	378
663	745	377
664	746	375
665	747	374
666	748	373
667	748	372
668	749	370
669	750	369
670	751	368
671	751	367
672	752	365
673	753	364
674	754	363
675	754	361
676	755	360
677	756	359
678	757	358
679	758	357
680	759	355
681	760	354
682	761	353
683	761	351
684	762	350
685	763	349
686	764	348
687	764	346
688	765	345
689	766	344
690	766	342
691	767	341
692	768	340
693	769	339
694	769	337
695	770	336
696	771	335
697	772	334
698	773	333
699	774	331
700	775	330
701	776	329
702	776	328
703	777	326
704	778	325
705	779	324
706	779	323
707	780	321
708	781	320
709	782	319
710	782	318
711	783	316
712	784	315
713	784	314
714	785	313
715	786	311
716	787	311
717	789	309
718	789	308
719	790	307
720	791	306
721	792	304
722	792	303
723	793	302
724	794	301
725	794	300
726	795	298
727	796	297
728	797	296
729	797	295
730	798	293
731	799	292
732	800	291
733	800	290
734	801	289
735	803	288
736	803	286
737	804	285
738	805	284
739	806	283
740	806	282
741	807	280
742	808	279
743	809	278
744	809	277
745	810	275
746	811	274
747	812	273
748	812	272
749	813	271
750	814	269
751	814	268
752	815	267
753	816	266
754	817	265
755	818	264
756	819	263
757	820	261
758	820	260
759	821	259
760	822	258
761	823	257
762	823	255
763	824	254
764	825	253
765	826	252
766	826	251
767	827	249
768	828	248
769	828	247
770	829	246
771	830	245
772	832	244
773	833	243
774	834	242
775	834	240
776	835	239
777	836	238
778	836	237
779	837	236
780	838	235
781	839	233
782	839	232
783	840	231
784	841	230
785	842	229
786	842	228
787	843	226
788	844	225
789	844	224
790	845	223
791	846	222
792	847	221
793	848	220
794	849	219
795	850	217
796	851	216
797	852	215
798	852	214
799	853	213
800	854	212
801	855	211
802	855	209
803	856	208
804	857	207
805	858	206
806	858	205
807	859	204
808	860	203
809	861	202
810	863	201
811	864	200
812	865	199
813	866	197
814	867	196
815	868	195
816	868	194
817	869	193
818	870	192
819	870	191
820	871	190
821	872	188
822	873	187
823	873	186
824	874	185
825	875	184
826	877	183
827	877	182
828	878	181
829	879	180
830	880	179
831	881	177
832	881	176
833	882	175
834	883	174
835	884	173
836	884	172
837	885	171
838	886	170
839	886	168
840	887	167
841	888	166
842	889	165
843	889	164
844	890	163
845	892	162
846	893	161
847	893	160
848	894	159
849	895	158
850	896	156
851	896	155
852	897	154
853	898	153
854	899	152
855	899	151
856	900	150
857	901	149
858	901	148
859	902	146
860	903	145
861	904	144
862	904	143
863	906	142
864	907	141
865	908	140
866	908	139
867	909	138
868	910	137
869	911	136
870	911	135
871	912	133
872	913	132
873	914	131
874	914	130
875	915	129
876	916	128
877	916	127
878	917	126
879	918	125
880	919	124
881	919	123
882	921	122
883	922	121
884	923	120
885	924	118
886	924	117
887	925	116
888	926	115
889	927	114
890	927	113
891	928	112
892	929	111
893	930	110
894	930	109
895	931	108
896	932	107
897	932	105
898	933	104
899	934	103
900	935	102
901	936	101
902	937	100
903	938	99
904	939	98
905	940	97
906	941	96
907	941	95
908	942	94
909	943	93
910	944	92
911	944	91
912	945	90
913	946	89
914	947	87
915	947	86
916	948	85
917	949	84
918	949	83
919	951	82
920	952	81
921	953	80
922	953	79
923	954	78
924	955	77
925	955	76
926	956	75
927	957	74
928	958	73
929	959	72
930	959	71
931	960	70
932	961	69
933	961	67
934	962	66
935	963	65
936	964	64
937	968	64
938	969	63
939	971	62
940	973	61
941	974	59
942	975	58
943	975	57
944	976	56
945	977	55
946	978	54
947	978	53
948	979	52
949	980	51
950	982	50
951	983	49
952	983	48
953	984	47
954	985	46
955	986	45
956	987	44
957	988	43
958	989	42
959	989	41
960	990	40
961	992	39
962	993	38
963	993	37
964	995	36
965	997	35
966	998	34
967	1000	33
968	1002	32
969	1003	31
970	1004	29
971	1005	28
972	1006	27
973	1007	26
974	1010	25
975	1014	24
976	1015	23
977	1016	22
978	1017	21
979	1019	20
980	1020	19
981	1021	18
982	1022	17
983	1023	16
984	1024	15
985	1027	14
986	1028	13
987	1029	12
988	1031	11
989	1034	10
990	1035	9
991	1036	8
992	1037	7
993	1039	6
994	1042	5
995	1044	4
996	1045	3
997	1046	2
998	1047	1
999	1048	0
